Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,Vanilla Triple Thick Shake (12 fl oz cup),Drink,420.0,10.0,6.0,0.5,40,140,72,0,54,9.0
McDonalds,Vanilla Triple Thick Shake (16 fl oz cup),Drink,550.0,13.0,8.0,1.0,50,190,96,0,72,13.0
McDonalds,Vanilla Triple Thick Shake (21 fl oz cup),Drink,740.0,18.0,11.0,1.0,70,250,128,0,96,17.0
McDonalds,1% Low Fat Milk Jug,Drink,100.0,2.5,1.5,0.0,10,125,12,0,12,8.0
McDonalds,1% Low Fat Chocolate Milk Jug,Drink,170.0,3.0,1.5,0.0,5,150,26,1,25,9.0
McDonalds,Minute Maid 100% Apple Juice Box,Drink,100.0,0.0,0.0,0.0,0,15,23,0,22,0.0
McDonalds,Dasani Water,Drink,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
McDonalds,Minute Maid Orange Juice (Small),Drink,150.0,0.0,0.0,0.0,0,0,30,0,30,2.0
McDonalds,Minute Maid Orange Juice (Medium),Drink,190.0,0.0,0.0,0.0,0,0,39,0,39,3.0
McDonalds,Minute Maid Orange Juice (Large),Drink,280.0,0.0,0.0,0.0,0,5,58,0,58,4.0
McDonalds,Coca-Cola Classic (Child),Drink,110.0,0.0,0.0,0.0,0,5,29,0,29,0.0
McDonalds,Coca-Cola Classic (Small),Drink,150.0,0.0,0.0,0.0,0,10,40,0,40,0.0
McDonalds,Coca-Cola Classic (Medium),Drink,210.0,0.0,0.0,0.0,0,15,58,0,58,0.0
McDonalds,Coca-Cola Classic (Large),Drink,310.0,0.0,0.0,0.0,0,20,86,0,86,0.0
McDonalds,Diet Coke (Child),Drink,0.0,0.0,0.0,0.0,0,15,0,0,0,0.0
McDonalds,Diet Coke (Small),Drink,0.0,0.0,0.0,0.0,0,20,0,0,0,0.0
McDonalds,Diet Coke (Medium),Drink,0.0,0.0,0.0,0.0,0,30,0,0,0,0.0
McDonalds,Diet Coke (Large),Drink,0.0,0.0,0.0,0.0,0,45,0,0,0,0.0
McDonalds,Sprite (Child),Drink,110.0,0.0,0.0,0.0,0,30,28,0,28,0.0
McDonalds,Sprite (Small),Drink,150.0,0.0,0.0,0.0,0,40,39,0,39,0.0
McDonalds,Sprite (Medium),Drink,210.0,0.0,0.0,0.0,0,55,56,0,56,0.0
McDonalds,Sprite (Large),Drink,310.0,0.0,0.0,0.0,0,80,83,0,83,0.0
McDonalds,Hi-C Orange Lavaburst (Child),Drink,120.0,0.0,0.0,0.0,0,0,32,0,32,0.0
McDonalds,Hi-C Orange Lavaburst (Small),Drink,160.0,0.0,0.0,0.0,0,5,44,0,44,0.0
McDonalds,Hi-C Orange Lavaburst (Medium),Drink,240.0,0.0,0.0,0.0,0,10,64,0,64,0.0
McDonalds,Hi-C Orange Lavaburst (Large),Drink,350.0,0.0,0.0,0.0,0,10,94,0,94,0.0
McDonalds,POWERade Mountain Blast (Child),Drink,70.0,0.0,0.0,0.0,0,65,20,0,16,0.0
McDonalds,POWERade Mountain Blast (Small),Drink,100.0,0.0,0.0,0.0,0,85,27,0,21,0.0
